sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
31271121	SRR15209195	na	NZ_CP128970.1	5639055	14	0.0002	14	100.0000	14	100.0000	0	0.0000	14	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	687075	0.0000	0	0.0000	0.9802
31271121	SRR15209195	na	NZ_CP038383.1	5571128	141	0.0025	141	100.0000	138	97.8723	0	0.0000	138	97.8723	3	2.1277	0	0.0000	0	0.0000	3	100.0000	0	0.0000	1111095	19.6633	266664	100.0000	0.9480
31271121	SRR15209195	na	NZ_CP045827.1	5570476	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1228027	62.8562	729095	100.0000	0.9082
31271121	SRR15209195	na	NZ_CP100500.1	5559392	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1056026	8.2554	171603	100.0000	0.9313
31271121	SRR15209195	na	NZ_CP080260.1	5366039	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	773925	5.2820	223783	47.3164	0.9376
31271121	SRR15209195	na	NZ_CP142442.1	5358846	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	659738	8.3495	47285	100.0000	0.9371
31271121	SRR15209195	na	NC_017646.1	5313531	119	0.0022	119	100.0000	116	97.4790	0	0.0000	116	97.4790	3	2.5210	0	0.0000	0	0.0000	3	100.0000	0	0.0000	619658	0.0000	247991	0.0000	0.9533
31271121	SRR15209195	na	NZ_AP022811.1	5283470	266	0.0050	266	100.0000	259	97.3684	0	0.0000	259	97.3684	7	2.6316	0	0.0000	0	0.0000	6	85.7143	1	14.2857	911727	34.8243	306526	84.9360	0.8761
31271121	SRR15209195	na	NZ_CP087290.1	5197709	195	0.0038	195	100.0000	193	98.9744	0	0.0000	193	98.9744	2	1.0256	0	0.0000	0	0.0000	2	100.0000	0	0.0000	567117	19.7786	106339	100.0000	0.9953
31271121	SRR15209195	na	NZ_CP068815.1	5192168	104	0.0020	104	100.0000	102	98.0769	0	0.0000	102	98.0769	2	1.9231	0	0.0000	0	0.0000	1	50.0000	1	50.0000	403585	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_AP022298.1	5121071	39	0.0008	39	100.0000	37	94.8718	0	0.0000	37	94.8718	2	5.1282	0	0.0000	0	0.0000	2	100.0000	0	0.0000	500621	17.0904	443735	39.1074	0.8973
31271121	SRR15209195	na	NZ_CP095448.1	5120890	33	0.0006	33	100.0000	31	93.9394	0	0.0000	31	93.9394	2	6.0606	0	0.0000	0	0.0000	2	100.0000	0	0.0000	579646	0.0000	122612	0.0000	0.9761
31271121	SRR15209195	na	NZ_CP035879.1	5083123	317	0.0062	317	100.0000	305	96.2145	0	0.0000	305	96.2145	22	6.9401	10	45.4545	10	45.4545	2	9.0909	10	45.4545	590692	37.5756	361811	65.3059	0.9208
31271121	SRR15209195	na	NZ_CP098206.1	5072432	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	305128	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_AP019538.1	5071981	42	0.0008	42	100.0000	40	95.2381	0	0.0000	40	95.2381	2	4.7619	0	0.0000	0	0.0000	2	100.0000	0	0.0000	546486	7.4231	207686	100.0000	0.9591
31271121	SRR15209195	na	NZ_CP095533.1	5071683	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	386021	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP022686.1	5055316	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	384212	0.0000	169550	0.0000	0.9284
31271121	SRR15209195	na	NZ_CP051751.1	5054966	28	0.0006	28	100.0000	28	100.0000	0	0.0000	28	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	181565	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP054345.1	5023098	97	0.0019	97	100.0000	94	96.9072	0	0.0000	94	96.9072	3	3.0928	0	0.0000	0	0.0000	2	66.6667	1	33.3333	334689	0.0000	99981	0.0000	0.9801
31271121	SRR15209195	na	NZ_CP071375.1	5022520	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	551768	3.4264	80895	100.0000	0.9839
31271121	SRR15209195	na	NZ_CP141765.1	5018039	134	0.0027	134	100.0000	134	100.0000	0	0.0000	134	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	392466	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP082774.1	5015239	71	0.0014	70	98.5915	66	94.2857	1	1.4085	67	94.3662	5	7.0423	1	20.0000	0	0.0000	4	80.0000	1	20.0000	312338	0.0000	0	0.0000	0.9618
31271121	SRR15209195	na	NZ_CP069559.1	5008199	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	344700	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP027457.1	5001754	80	0.0016	80	100.0000	77	96.2500	0	0.0000	77	96.2500	3	3.7500	0	0.0000	0	0.0000	3	100.0000	0	0.0000	645245	9.5466	82466	100.0000	0.9958
31271121	SRR15209195	na	NZ_AP022087.1	4996252	61	0.0012	61	100.0000	54	88.5246	0	0.0000	54	88.5246	7	11.4754	0	0.0000	0	0.0000	5	71.4286	2	28.5714	476845	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP128931.1	4990655	180	0.0036	180	100.0000	179	99.4444	0	0.0000	179	99.4444	1	0.5556	0	0.0000	0	0.0000	1	100.0000	0	0.0000	754666	21.0129	188005	83.6137	0.9717
31271121	SRR15209195	na	NZ_CP033762.1	4977723	30	0.0006	30	100.0000	29	96.6667	0	0.0000	29	96.6667	1	3.3333	0	0.0000	0	0.0000	1	100.0000	0	0.0000	322923	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_AP027258.1	4968007	28	0.0006	28	100.0000	28	100.0000	0	0.0000	28	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	747532	32.5685	277587	100.0000	0.9390
31271121	SRR15209195	na	NC_011601.1	4965553	29	0.0006	29	100.0000	27	93.1034	0	0.0000	27	93.1034	2	6.8966	0	0.0000	0	0.0000	1	50.0000	1	50.0000	136746	44.0613	143515	100.0000	0.9711
31271121	SRR15209195	na	NZ_CP073624.1	4950124	199	0.0040	199	100.0000	198	99.4975	0	0.0000	198	99.4975	1	0.5025	0	0.0000	0	0.0000	1	100.0000	0	0.0000	680950	9.0963	59926	100.0000	0.9461
31271121	SRR15209195	na	NZ_CP104371.1	4936877	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	332418	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP134358.1	4936594	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	487953	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_AP021933.1	4928821	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	524236	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_AP022261.1	4907327	77	0.0016	77	100.0000	75	97.4026	0	0.0000	75	97.4026	2	2.5974	0	0.0000	0	0.0000	2	100.0000	0	0.0000	411086	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP028758.1	4902546	83	0.0017	83	100.0000	81	97.5904	0	0.0000	81	97.5904	2	2.4096	0	0.0000	0	0.0000	1	50.0000	1	50.0000	547509	0.0000	0	0.0000	1.0000
31271121	SRR15209195	na	NZ_CP104598.1	4901141	34	0.0007	34	100.0000	34	100.0000	0	0.0000	34	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	690573	40.4227	394793	92.3307	0.9294
