sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
A93.filter	EUP2115.filter	na	NZ_CP128970.1	5639055	393	0.0070	393	100.0000	391	99.4911	0	0.0000	391	99.4911	2	0.5089	0	0.0000	0	0.0000	0	0.0000	2	100.0000	41121	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP038383.1	5571128	291	0.0052	291	100.0000	288	98.9691	0	0.0000	288	98.9691	3	1.0309	0	0.0000	0	0.0000	2	66.6667	1	33.3333	318926	36.2683	345818	54.2430	0.9379
A93.filter	EUP2115.filter	na	NZ_CP045827.1	5570476	3204	0.0575	3204	100.0000	3200	99.8752	0	0.0000	3200	99.8752	4	0.1248	0	0.0000	0	0.0000	1	25.0000	3	75.0000	662354	88.0692	859402	91.3664	0.9173
A93.filter	EUP2115.filter	na	NZ_CP100500.1	5559392	298	0.0054	298	100.0000	297	99.6644	0	0.0000	297	99.6644	6	2.0134	5	83.3333	5	83.3333	1	16.6667	0	0.0000	256485	39.3820	110930	100.0000	0.9800
A93.filter	EUP2115.filter	na	NZ_CP080260.1	5366039	185	0.0034	185	100.0000	185	100.0000	0	0.0000	185	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1715286	20.7147	500441	78.1601	0.8329
A93.filter	EUP2115.filter	na	NZ_CP142442.1	5358846	69	0.0013	69	100.0000	69	100.0000	0	0.0000	69	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	690213	0.0000	0.8712
A93.filter	EUP2115.filter	na	NC_017646.1	5313531	15	0.0003	15	100.0000	15	100.0000	0	0.0000	15	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	493624	0.0000	309292	0.0000	0.9071
A93.filter	EUP2115.filter	na	NZ_AP022811.1	5283470	2281	0.0432	2281	100.0000	2277	99.8246	0	0.0000	2277	99.8246	4	0.1754	0	0.0000	0	0.0000	1	25.0000	3	75.0000	654186	83.0625	499053	100.0000	0.9556
A93.filter	EUP2115.filter	na	NZ_CP087290.1	5197709	524	0.0101	524	100.0000	520	99.2366	0	0.0000	520	99.2366	4	0.7634	0	0.0000	0	0.0000	4	100.0000	0	0.0000	589411	21.4959	350667	6.5624	0.8866
A93.filter	EUP2115.filter	na	NZ_CP068815.1	5192168	1	0.0000	1	100.0000	1	100.0000	0	0.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1069935	0.0000	0.9096
A93.filter	EUP2115.filter	na	NZ_AP022298.1	5121071	154	0.0030	154	100.0000	154	100.0000	0	0.0000	154	100.0000	1	0.6494	1	100.0000	1	100.0000	0	0.0000	0	0.0000	514731	75.9494	621195	100.0000	0.8787
A93.filter	EUP2115.filter	na	NZ_CP095448.1	5120890	185	0.0036	185	100.0000	184	99.4595	0	0.0000	184	99.4595	1	0.5405	0	0.0000	0	0.0000	1	100.0000	0	0.0000	542194	0.0000	46374	0.0000	0.8941
A93.filter	EUP2115.filter	na	NZ_CP035879.1	5083123	1216	0.0239	1213	99.7533	1200	98.9283	3	0.2467	1203	98.9309	19	1.5625	6	31.5789	3	15.7895	12	63.1579	2	10.5263	164329	16.8199	201228	27.4818	0.9604
A93.filter	EUP2115.filter	na	NZ_CP098206.1	5072432	266	0.0052	266	100.0000	256	96.2406	0	0.0000	256	96.2406	13	4.8872	3	23.0769	3	23.0769	4	30.7692	6	46.1538	287463	0.0000	230687	0.0000	0.9433
A93.filter	EUP2115.filter	na	NZ_AP019538.1	5071981	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	231887	0.0000	202734	0.0000	0.9143
A93.filter	EUP2115.filter	na	NZ_CP095533.1	5071683	59	0.0012	59	100.0000	58	98.3051	0	0.0000	58	98.3051	1	1.6949	0	0.0000	0	0.0000	1	100.0000	0	0.0000	143162	0.0000	374827	0.0000	0.9428
A93.filter	EUP2115.filter	na	NZ_CP022686.1	5055316	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	891419	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP051751.1	5054966	133	0.0026	133	100.0000	133	100.0000	0	0.0000	133	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP054345.1	5023098	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	531446	0.0000	239052	0.0000	0.8942
A93.filter	EUP2115.filter	na	NZ_CP071375.1	5022520	164	0.0033	164	100.0000	164	100.0000	0	0.0000	164	100.0000	1	0.6098	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP141765.1	5018039	287	0.0057	287	100.0000	286	99.6516	0	0.0000	286	99.6516	1	0.3484	0	0.0000	0	0.0000	0	0.0000	1	100.0000	0	0.0000	670241	0.0000	0.9215
A93.filter	EUP2115.filter	na	NZ_CP082774.1	5015239	101	0.0020	101	100.0000	99	98.0198	0	0.0000	99	98.0198	2	1.9802	0	0.0000	0	0.0000	0	0.0000	2	100.0000	331617	0.0000	300319	0.0000	0.8740
A93.filter	EUP2115.filter	na	NZ_CP069559.1	5008199	372	0.0074	370	99.4624	364	98.3784	2	0.5376	366	98.3871	12	3.2258	6	50.0000	4	33.3333	4	33.3333	2	16.6667	0	0.0000	285689	0.0000	0.9430
A93.filter	EUP2115.filter	na	NZ_CP027457.1	5001754	136	0.0027	136	100.0000	136	100.0000	0	0.0000	136	100.0000	1	0.7353	1	100.0000	1	100.0000	0	0.0000	0	0.0000	218818	40.9016	228468	48.4895	0.9543
A93.filter	EUP2115.filter	na	NZ_AP022087.1	4996252	146	0.0029	146	100.0000	145	99.3151	0	0.0000	145	99.3151	1	0.6849	0	0.0000	0	0.0000	0	0.0000	1	100.0000	0	0.0000	315150	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP128931.1	4990655	388	0.0078	388	100.0000	378	97.4227	0	0.0000	378	97.4227	10	2.5773	0	0.0000	0	0.0000	7	70.0000	3	30.0000	62178	0.0000	215657	0.0000	0.9568
A93.filter	EUP2115.filter	na	NZ_CP033762.1	4977723	28	0.0006	28	100.0000	28	100.0000	0	0.0000	28	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	466285	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_AP027258.1	4968007	1028	0.0207	1028	100.0000	1023	99.5136	0	0.0000	1023	99.5136	6	0.5837	1	16.6667	1	16.6667	2	33.3333	3	50.0000	317107	35.4000	253284	51.7182	0.9396
A93.filter	EUP2115.filter	na	NC_011601.1	4965553	1715	0.0345	1714	99.9417	1629	95.0408	1	0.0583	1630	95.0437	95	5.5394	10	10.5263	9	9.4737	74	77.8947	13	13.6842	269007	0.0000	223479	0.0000	0.9008
A93.filter	EUP2115.filter	na	NZ_CP073624.1	4950124	96	0.0019	96	100.0000	92	95.8333	0	0.0000	92	95.8333	4	4.1667	0	0.0000	0	0.0000	2	50.0000	2	50.0000	409807	30.0944	334222	41.3902	0.8971
A93.filter	EUP2115.filter	na	NZ_CP104371.1	4936877	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP134358.1	4936594	122	0.0025	122	100.0000	122	100.0000	0	0.0000	122	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	146808	0.0000	0.9703
A93.filter	EUP2115.filter	na	NZ_AP021933.1	4928821	57	0.0012	57	100.0000	57	100.0000	0	0.0000	57	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	426210	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_AP022261.1	4907327	167	0.0034	167	100.0000	167	100.0000	0	0.0000	167	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	526751	0.0000	0.8927
A93.filter	EUP2115.filter	na	NZ_CP028758.1	4902546	391	0.0080	391	100.0000	388	99.2327	0	0.0000	388	99.2327	3	0.7673	0	0.0000	0	0.0000	0	0.0000	3	100.0000	52955	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP104598.1	4901141	1084	0.0221	1084	100.0000	1082	99.8155	0	0.0000	1082	99.8155	2	0.1845	0	0.0000	0	0.0000	2	100.0000	0	0.0000	348212	27.9789	150900	100.0000	0.9588
A93.filter	EUP2115.filter	na	NZ_CP023386.1	4900891	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	176323	0.0000	0.9640
A93.filter	EUP2115.filter	na	NZ_AP023197.1	4894769	2350	0.0480	2350	100.0000	2346	99.8298	0	0.0000	2346	99.8298	4	0.1702	0	0.0000	0	0.0000	3	75.0000	1	25.0000	302347	20.6084	223348	20.2357	0.9260
A93.filter	EUP2115.filter	na	NZ_CP027440.1	4892666	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	479572	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP095540.1	4880747	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	645573	51.1270	322793	100.0000	0.8707
A93.filter	EUP2115.filter	na	NZ_ABACVG020000001.1	4878159	11	0.0002	11	100.0000	11	100.0000	0	0.0000	11	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	424126	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP049204.1	4866137	71	0.0015	71	100.0000	71	100.0000	0	0.0000	71	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	80036	0.0000	128262	0.0000	0.9736
A93.filter	EUP2115.filter	na	NZ_OW967178.1	4863036	159	0.0033	159	100.0000	159	100.0000	0	0.0000	159	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	313419	0.0000	0.9356
A93.filter	EUP2115.filter	na	NZ_CP098223.1	4841244	143	0.0030	143	100.0000	143	100.0000	0	0.0000	143	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	497704	0.0000	745747	0.0000	0.7432
A93.filter	EUP2115.filter	na	NZ_CP106924.1	4837116	1293	0.0267	1293	100.0000	1290	99.7680	0	0.0000	1290	99.7680	3	0.2320	0	0.0000	0	0.0000	1	33.3333	2	66.6667	143508	89.4424	300515	39.9258	0.9433
A93.filter	EUP2115.filter	na	NZ_CP027550.1	4836918	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP110511.1	4814832	1054	0.0219	1054	100.0000	1054	100.0000	0	0.0000	1054	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	207668	20.4109	124483	68.5073	0.9669
A93.filter	EUP2115.filter	na	NZ_CP030919.1	4810511	590	0.0123	590	100.0000	590	100.0000	0	0.0000	590	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	127780	74.7856	193538	56.7692	0.9791
A93.filter	EUP2115.filter	na	NZ_CP007390.1	4807977	15287	0.3180	14980	97.9918	14756	98.5047	307	2.0082	15061	98.5216	635	4.1539	409	64.4094	123	19.3701	282	44.4094	145	22.8346	198104	84.4738	240328	60.2090	0.9558
A93.filter	EUP2115.filter	na	NZ_CP088131.1	4785944	458	0.0096	458	100.0000	458	100.0000	0	0.0000	458	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	198509	0.0000	78716	0.0000	0.9618
A93.filter	EUP2115.filter	na	NZ_CP081698.1	4777845	20	0.0004	20	100.0000	19	95.0000	0	0.0000	19	95.0000	2	10.0000	1	50.0000	1	50.0000	1	50.0000	0	0.0000	34271	100.0000	133640	35.1377	0.9720
A93.filter	EUP2115.filter	na	NZ_CP047600.1	4768611	256	0.0054	256	100.0000	256	100.0000	0	0.0000	256	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	240672	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP019267.1	4740860	132929	2.8039	132901	99.9789	132875	99.9804	28	0.0211	132903	99.9804	58	0.0436	32	55.1724	5	8.6207	33	56.8966	19	32.7586	144847	23.5566	118776	56.6242	0.9628
A93.filter	EUP2115.filter	na	NZ_CP135649.1	4717304	3886	0.0824	3855	99.2023	3810	98.8327	31	0.7977	3841	98.8420	94	2.4189	49	52.1277	20	21.2766	37	39.3617	30	31.9149	149125	78.9519	265545	37.8723	0.9559
A93.filter	EUP2115.filter	na	NZ_CP069453.1	4666387	336	0.0072	336	100.0000	335	99.7024	0	0.0000	335	99.7024	1	0.2976	0	0.0000	0	0.0000	1	100.0000	0	0.0000	0	0.0000	300285	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP024147.1	4639454	141	0.0030	141	100.0000	141	100.0000	0	0.0000	141	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	76241	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP138428.1	4614072	272	0.0059	272	100.0000	272	100.0000	0	0.0000	272	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
A93.filter	EUP2115.filter	na	NZ_CP028750.1	4602860	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	527515	100.0000	241994	100.0000	0.8854
A93.filter	EUP2115.filter	na	NZ_LR134231.1	4594692	7148	0.1556	7148	100.0000	7147	99.9860	0	0.0000	7147	99.9860	1	0.0140	0	0.0000	0	0.0000	1	100.0000	0	0.0000	43310	0.0000	154310	0.0000	0.9664
A93.filter	EUP2115.filter	na	NZ_CP053730.1	4590822	1135	0.0247	1135	100.0000	1134	99.9119	0	0.0000	1134	99.9119	1	0.0881	0	0.0000	0	0.0000	1	100.0000	0	0.0000	69566	61.9139	107844	31.8367	0.9686
A93.filter	EUP2115.filter	na	NZ_CP089930.1	4438520	3	0.0001	3	100.0000	3	100.0000	0	0.0000	3	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
