ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.055	163	0.001	0	3820	0.075	3798	99.424	22	0.576	0	0.000	41259	0.812	169	0.003	0	0
na	NZ_CP073624.1	4950124	0.056	45	0.000	0	1269	0.026	1268	99.921	1	0.079	0	0.000	43228	0.873	0	0.000	0	0
na	NZ_CP024147.1	4639454	0.022	89	0.001	0	2972	0.064	2957	99.495	15	0.505	0	0.000	15457	0.333	423	0.009	0	0
na	NZ_CP138428.1	4614072	0.048	298	0.003	0	8431	0.183	8412	99.775	19	0.225	0	0.000	27945	0.606	483	0.010	0	0
na	NZ_CP106924.1	4837116	0.057	150	0.001	0	3065	0.063	3051	99.543	14	0.457	0	0.000	36844	0.762	94	0.002	0	0
na	NZ_CP051751.1	5054966	0.014	74	0.001	0	2116	0.042	2085	98.535	31	1.465	0	0.000	10703	0.212	112	0.002	0	0
na	NZ_CP047600.1	4768611	0.012	35	0.000	0	943	0.020	934	99.046	9	0.954	0	0.000	7655	0.161	0	0.000	0	0
na	NZ_CP023386.1	4900891	0.016	67	0.001	0	2037	0.042	2022	99.264	15	0.736	0	0.000	11240	0.229	45	0.001	0	0
na	NZ_CP030919.1	4810511	0.081	157	0.001	0	5027	0.105	5019	99.841	8	0.159	0	0.000	56047	1.165	95	0.002	2	221574
na	NZ_CP027550.1	4836918	0.011	44	0.000	0	1505	0.031	1488	98.870	17	1.130	0	0.000	8217	0.170	145	0.003	0	0
na	NZ_CP110511.1	4814832	0.123	1604	0.014	0	46253	0.961	46240	99.972	13	0.028	0	0.000	57436	1.193	485	0.010	1	49256
na	NZ_AP023197.1	4894769	0.030	130	0.001	0	2580	0.053	2575	99.806	5	0.194	0	0.000	22264	0.455	415	0.008	1	187732
na	NZ_CP142442.1	5358846	0.022	40	0.000	0	1253	0.023	1247	99.521	6	0.479	0	0.000	19434	0.363	782	0.015	0	0
na	NZ_CP134358.1	4936594	0.017	58	0.001	0	1427	0.029	1411	98.879	16	1.121	0	0.000	12304	0.249	93	0.002	0	0
na	NZ_CP038383.1	5571128	0.017	70	0.001	0	1851	0.033	1830	98.865	21	1.135	0	0.000	12455	0.224	0	0.000	0	0
na	NC_017646.1	5313531	0.013	75	0.001	0	2303	0.043	2285	99.218	18	0.782	0	0.000	9261	0.174	0	0.000	0	0
na	NZ_CP095448.1	5120890	0.013	56	0.000	0	1031	0.020	1024	99.321	7	0.679	0	0.000	10866	0.212	129	0.003	0	0
na	NZ_CP028750.1	4602860	0.010	23	0.000	0	482	0.010	473	98.133	9	1.867	0	0.000	5543	0.120	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.014	258	0.002	0	6767	0.139	6689	98.847	78	1.153	0	0.000	5176	0.106	0	0.000	0	0
na	NZ_CP053730.1	4590822	0.099	264	0.002	0	7839	0.171	7832	99.911	7	0.089	1	0.013	68847	1.500	0	0.000	0	0
na	NZ_CP019267.1	4740860	0.066	214	0.002	0	6333	0.134	6321	99.811	12	0.189	0	0.000	43932	0.927	63	0.001	0	0
na	NZ_CP104371.1	4936877	0.015	39	0.000	0	940	0.019	934	99.362	6	0.638	0	0.000	8553	0.173	0	0.000	0	0
na	NZ_CP095533.1	5071683	0.019	107	0.001	0	2763	0.054	2749	99.493	14	0.507	0	0.000	11303	0.223	0	0.000	0	0
na	NZ_CP071375.1	5022520	0.021	121	0.001	0	2342	0.047	2331	99.530	11	0.470	0	0.000	14050	0.280	283	0.006	0	0
na	NZ_CP095540.1	4880747	0.009	17	0.000	0	185	0.004	181	97.838	4	2.162	0	0.000	6197	0.127	0	0.000	0	0
