ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
na	NZ_CP035879.1	5083123	0.034	96	0.006	0	2370	0.047	2309	97.426	61	2.574	0	0.000	20621	0.406	150	0.003	1	173985
na	NZ_CP073624.1	4950124	0.050	325	0.021	0	8043	0.162	7820	97.227	223	2.780	20	0.249	28768	0.581	556	0.011	0	0
na	NZ_CP024147.1	4639454	0.027	208	0.013	0	4455	0.096	4311	96.768	144	3.234	2	0.045	16531	0.356	945	0.020	1	208919
na	NZ_CP138428.1	4614072	0.045	309	0.020	0	6683	0.145	6642	99.387	41	0.613	0	0.000	24572	0.533	302	0.007	0	0
na	NZ_CP106924.1	4837116	0.043	128	0.008	0	4272	0.088	4236	99.157	36	0.843	0	0.000	29103	0.602	67	0.001	1	172554
na	NZ_CP051751.1	5054966	0.017	137	0.009	0	3167	0.063	3099	97.853	68	2.147	0	0.000	9188	0.182	0	0.000	0	0
na	NZ_CP047600.1	4768611	0.009	59	0.004	0	852	0.018	837	98.239	15	1.761	0	0.000	4242	0.089	0	0.000	0	0
na	NZ_CP023386.1	4900891	0.021	168	0.011	0	3153	0.064	3038	96.353	115	3.647	0	0.000	11541	0.235	0	0.000	1	272008
na	NZ_CP030919.1	4810511	0.082	289	0.018	0	7517	0.156	7484	99.561	33	0.439	0	0.000	55300	1.150	42	0.001	1	71107
na	NZ_CP027550.1	4836918	0.008	72	0.005	0	2008	0.042	1930	96.116	78	3.884	0	0.000	3743	0.077	355	0.007	0	0
na	NZ_CP110511.1	4814832	0.038	138	0.009	0	3609	0.075	3547	98.282	62	1.718	0	0.000	20459	0.425	24	0.000	0	0
na	NZ_AP023197.1	4894769	0.031	219	0.014	0	5756	0.118	5686	98.784	70	1.220	18	0.313	18593	0.380	383	0.008	2	473433
na	NZ_CP142442.1	5358846	0.029	167	0.011	0	3576	0.067	3503	97.959	73	2.042	1	0.028	23133	0.432	776	0.014	0	0
na	NZ_CP134358.1	4936594	0.018	111	0.007	0	3579	0.072	3413	95.362	165	4.613	2	0.056	11799	0.239	0	0.000	0	0
na	NZ_CP038383.1	5571128	0.017	178	0.011	0	5115	0.092	4986	97.478	129	2.522	1	0.020	9198	0.165	0	0.000	0	0
na	NC_017646.1	5313531	0.018	177	0.011	0	3874	0.073	3810	98.348	64	1.652	0	0.000	9149	0.172	0	0.000	1	279613
na	NZ_CP095448.1	5120890	0.027	294	0.019	0	8049	0.157	7907	98.236	142	1.764	1	0.012	14821	0.289	0	0.000	2	438263
na	NZ_CP028750.1	4602860	0.009	60	0.004	0	1069	0.023	1049	98.129	20	1.873	1	0.094	4087	0.089	0	0.000	0	0
na	NZ_ABACVG020000001.1	4878159	0.039	610	0.039	0	14576	0.299	14187	97.331	388	2.665	18	0.123	17853	0.366	205	0.004	2	315495
na	NZ_CP053730.1	4590822	0.092	312	0.020	0	7026	0.153	7000	99.630	26	0.370	1	0.014	55788	1.215	36	0.001	1	71680
na	NZ_CP019267.1	4740860	0.040	108	0.007	0	1897	0.040	1890	99.631	7	0.369	0	0.000	25339	0.534	818	0.017	0	0
na	NZ_CP104371.1	4936877	0.018	122	0.008	0	3071	0.062	2983	97.134	88	2.866	0	0.000	9407	0.191	0	0.000	0	0
na	NZ_CP095533.1	5071683	0.025	282	0.018	0	7664	0.151	7564	98.695	100	1.305	4	0.052	11566	0.228	0	0.000	1	225693
na	NZ_CP071375.1	5022520	0.019	139	0.009	0	3085	0.061	2962	96.013	123	3.988	1	0.032	9858	0.196	0	0.000	1	390152
na	NZ_CP095540.1	4880747	0.014	171	0.011	0	3675	0.075	3555	96.735	120	3.266	1	0.027	7773	0.159	301	0.006	1	383998
na	NZ_CP141765.1	5018039	0.025	220	0.014	0	6143	0.122	6059	98.633	84	1.367	0	0.000	16132	0.321	2270	0.045	0	0
na	NZ_AP022261.1	4907327	0.023	194	0.012	0	4195	0.085	4156	99.070	39	0.930	1	0.024	11712	0.239	0	0.000	1	255355
na	NZ_CP022686.1	5055316	0.009	55	0.003	0	1467	0.029	1405	95.774	62	4.226	0	0.000	5156	0.102	0	0.000	0	0
na	NZ_CP135649.1	4717304	0.070	296	0.019	0	9672	0.205	9544	98.677	128	1.325	8	0.083	40267	0.854	505	0.011	2	162347
na	NZ_CP087290.1	5197709	0.057	565	0.036	0	14704	0.283	14522	98.762	182	1.238	5	0.034	44691	0.860	670	0.013	3	374286
na	NZ_CP082774.1	5015239	0.011	95	0.006	0	2170	0.043	2087	96.175	83	3.825	0	0.000	5284	0.105	0	0.000	2	1336124
na	NZ_CP100500.1	5559392	0.069	606	0.039	0	19087	0.343	18820	98.601	267	1.399	8	0.042	61941	1.114	475	0.009	14	1747288
na	NZ_CP027440.1	4892666	0.015	98	0.006	0	1718	0.035	1670	97.206	48	2.794	0	0.000	8173	0.167	0	0.000	0	0
na	NZ_CP033762.1	4977723	0.011	113	0.007	0	1845	0.037	1785	96.748	60	3.254	1	0.054	8315	0.167	485	0.010	2	1146581
na	NZ_CP068815.1	5192168	0.009	63	0.004	0	1366	0.026	1358	99.414	8	0.586	0	0.000	4381	0.084	0	0.000	0	0
na	NZ_CP098223.1	4841244	0.091	2161	0.137	0	52370	1.082	52130	99.542	240	0.458	0	0.000	29468	0.609	1892	0.039	2	140429
na	NZ_CP104598.1	4901141	0.033	115	0.007	0	2240	0.046	2208	98.571	32	1.429	0	0.000	23196	0.473	127	0.003	1	167994
na	NZ_AP022811.1	5283470	0.035	137	0.009	0	3531	0.067	3470	98.272	61	1.732	10	0.283	26156	0.495	541	0.010	2	345005
na	NZ_AP027258.1	4968007	0.033	132	0.008	0	3431	0.069	3285	95.745	146	4.255	0	0.000	19994	0.402	0	0.000	0	0
na	NZ_AP019538.1	5071981	0.022	94	0.006	0	2099	0.041	2073	98.761	26	1.239	0	0.000	13522	0.267	0	0.000	1	401366
na	NZ_AP021933.1	4928821	0.018	122	0.008	0	3177	0.064	3146	99.024	31	0.976	1	0.031	10460	0.212	0	0.000	1	349664
na	NZ_AP022087.1	4996252	0.024	228	0.014	0	5866	0.117	5834	99.454	32	0.547	18	0.307	15157	0.303	128	0.003	0	0
na	NZ_CP054345.1	5023098	0.009	46	0.003	0	1483	0.030	1459	98.382	24	1.618	0	0.000	3976	0.079	0	0.000	0	0
