sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
A179.filter	SRR15209195	na	NZ_CP128970.1	5639055	1002	0.0178	1001	99.9002	977	97.6024	1	0.0998	978	97.6048	25	2.4950	1	4.0000	0	0.0000	6	24.0000	18	72.0000	254789	0.0000	0	0.0000	1.0000
A179.filter	SRR15209195	na	NZ_CP038383.1	5571128	827	0.0148	824	99.6372	815	98.9078	3	0.3628	818	98.9117	17	2.0556	8	47.0588	5	29.4118	3	17.6471	9	52.9412	591726	21.5214	266664	69.9532	0.9521
A179.filter	SRR15209195	na	NZ_CP045827.1	5570476	2140	0.0384	2131	99.5794	2125	99.7184	9	0.4206	2134	99.7196	21	0.9813	15	71.4286	6	28.5714	8	38.0952	3	14.2857	752190	75.6851	729095	93.2925	0.9318
A179.filter	SRR15209195	na	NZ_CP100500.1	5559392	1806	0.0325	1792	99.2248	1765	98.4933	14	0.7752	1778	98.4496	54	2.9900	26	48.1481	13	24.0741	21	38.8889	21	38.8889	343983	16.2706	171603	100.0000	0.9691
A179.filter	SRR15209195	na	NZ_CP080260.1	5366039	115	0.0021	115	100.0000	115	100.0000	0	0.0000	115	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	259475	12.2416	223783	52.6836	0.9583
A179.filter	SRR15209195	na	NZ_CP142442.1	5358846	1977	0.0369	1975	99.8988	1966	99.5443	2	0.1012	1968	99.5448	12	0.6070	3	25.0000	1	8.3333	9	75.0000	2	16.6667	363272	0.0000	47285	0.0000	0.9912
A179.filter	SRR15209195	na	NC_017646.1	5313531	1491	0.0281	1489	99.8659	1474	98.9926	2	0.1341	1476	98.9940	19	1.2743	4	21.0526	2	10.5263	10	52.6316	7	36.8421	305238	7.1308	247991	46.1101	0.9533
A179.filter	SRR15209195	na	NZ_AP022811.1	5283470	4901	0.0928	4893	99.8368	4886	99.8569	8	0.1632	4894	99.8572	20	0.4081	13	65.0000	5	25.0000	9	45.0000	4	20.0000	494959	39.2734	306526	64.6307	0.9367
A179.filter	SRR15209195	na	NZ_CP087290.1	5197709	1328	0.0255	1326	99.8494	1315	99.1704	2	0.1506	1317	99.1717	14	1.0542	3	21.4286	1	7.1429	2	14.2857	11	78.5714	86544	0.0000	106339	0.0000	0.9795
A179.filter	SRR15209195	na	NZ_CP068815.1	5192168	277	0.0053	277	100.0000	272	98.1949	0	0.0000	272	98.1949	5	1.8051	0	0.0000	0	0.0000	1	20.0000	4	80.0000	292657	0.0000	0	0.0000	1.0000
A179.filter	SRR15209195	na	NZ_AP022298.1	5121071	2078	0.0406	2075	99.8556	2069	99.7108	3	0.1444	2072	99.7113	9	0.4331	3	33.3333	0	0.0000	4	44.4444	5	55.5556	735461	16.4285	443735	79.1076	0.9134
A179.filter	SRR15209195	na	NZ_CP095448.1	5120890	514	0.0100	514	100.0000	511	99.4163	0	0.0000	511	99.4163	4	0.7782	1	25.0000	1	25.0000	0	0.0000	3	75.0000	214232	0.0000	122612	0.0000	0.9761
A179.filter	SRR15209195	na	NZ_CP035879.1	5083123	3666	0.0721	3661	99.8636	3640	99.4264	5	0.1364	3645	99.4272	34	0.9274	13	38.2353	8	23.5294	7	20.5882	16	47.0588	157913	44.6442	361811	36.0932	0.9339
A179.filter	SRR15209195	na	NZ_CP098206.1	5072432	305	0.0060	305	100.0000	302	99.0164	0	0.0000	302	99.0164	3	0.9836	0	0.0000	0	0.0000	2	66.6667	1	33.3333	429664	0.0000	0	0.0000	1.0000
