sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
31271121	A179.filter	na	NZ_CP128970.1	5639055	356	0.0063	356	100.0000	353	99.1573	0	0.0000	353	99.1573	5	1.4045	2	40.0000	2	40.0000	0	0.0000	3	60.0000	687075	12.5634	254789	21.3588	0.8782
31271121	A179.filter	na	NZ_CP038383.1	5571128	592	0.0106	591	99.8311	586	99.1540	1	0.1689	587	99.1554	7	1.1824	2	28.5714	1	14.2857	4	57.1429	2	28.5714	1111095	66.7645	591726	92.5128	0.8462
31271121	A179.filter	na	NZ_CP045827.1	5570476	925	0.0166	925	100.0000	918	99.2432	0	0.0000	918	99.2432	10	1.0811	3	30.0000	3	30.0000	5	50.0000	2	20.0000	1228027	75.5983	752190	99.0889	0.8878
31271121	A179.filter	na	NZ_CP100500.1	5559392	486	0.0087	486	100.0000	480	98.7654	0	0.0000	480	98.7654	6	1.2346	0	0.0000	0	0.0000	2	33.3333	4	66.6667	1056026	57.1717	343983	81.3973	0.8277
31271121	A179.filter	na	NZ_CP080260.1	5366039	210	0.0039	210	100.0000	203	96.6667	0	0.0000	203	96.6667	8	3.8095	1	12.5000	1	12.5000	1	12.5000	6	75.0000	773925	42.3006	259475	59.2678	0.8684
31271121	A179.filter	na	NZ_CP142442.1	5358846	509	0.0095	509	100.0000	494	97.0530	0	0.0000	494	97.0530	17	3.3399	2	11.7647	2	11.7647	8	47.0588	7	41.1765	659738	41.1407	363272	46.3504	0.8825
31271121	A179.filter	na	NC_017646.1	5313531	234	0.0044	234	100.0000	229	97.8632	0	0.0000	229	97.8632	5	2.1368	0	0.0000	0	0.0000	3	60.0000	2	40.0000	619658	33.5174	305238	42.0980	0.8834
31271121	A179.filter	na	NZ_AP022811.1	5283470	1360	0.0257	1359	99.9265	1348	99.1906	1	0.0735	1349	99.1912	13	0.9559	2	15.3846	1	7.6923	11	84.6154	0	0.0000	911727	69.8969	494959	98.7892	0.9020
31271121	A179.filter	na	NZ_CP087290.1	5197709	385	0.0074	383	99.4805	370	96.6057	2	0.5195	372	96.6234	15	3.8961	2	13.3333	0	0.0000	13	86.6667	2	13.3333	567117	7.4898	86544	21.8490	0.8909
31271121	A179.filter	na	NZ_CP068815.1	5192168	19	0.0004	19	100.0000	17	89.4737	0	0.0000	17	89.4737	2	10.5263	0	0.0000	0	0.0000	2	100.0000	0	0.0000	403585	39.0854	292657	33.7566	0.9102
31271121	A179.filter	na	NZ_AP022298.1	5121071	114	0.0022	114	100.0000	112	98.2456	0	0.0000	112	98.2456	2	1.7544	0	0.0000	0	0.0000	2	100.0000	0	0.0000	500621	67.2301	735461	30.9488	0.9002
31271121	A179.filter	na	NZ_CP095448.1	5120890	302	0.0059	302	100.0000	302	100.0000	0	0.0000	302	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	579646	24.7332	214232	31.3823	0.8868
31271121	A179.filter	na	NZ_CP035879.1	5083123	2738	0.0539	2720	99.3426	2653	97.5368	18	0.6574	2670	97.5164	91	3.3236	23	25.2747	6	6.5934	68	74.7253	18	19.7802	590692	46.9314	157913	92.4528	0.9043
31271121	A179.filter	na	NZ_CP098206.1	5072432	212	0.0042	212	100.0000	207	97.6415	0	0.0000	207	97.6415	7	3.3019	2	28.5714	2	28.5714	3	42.8571	2	28.5714	305128	39.0063	429664	20.5077	0.9398
31271121	A179.filter	na	NZ_AP019538.1	5071981	8	0.0002	8	100.0000	7	87.5000	0	0.0000	7	87.5000	1	12.5000	0	0.0000	0	0.0000	0	0.0000	1	100.0000	546486	64.6963	470165	51.2871	0.9112
31271121	A179.filter	na	NZ_CP095533.1	5071683	195	0.0038	195	100.0000	193	98.9744	0	0.0000	193	98.9744	2	1.0256	0	0.0000	0	0.0000	2	100.0000	0	0.0000	386021	40.8009	251907	43.6256	0.9299
31271121	A179.filter	na	NZ_CP022686.1	5055316	282	0.0056	282	100.0000	273	96.8085	0	0.0000	273	96.8085	11	3.9007	2	18.1818	2	18.1818	7	63.6364	2	18.1818	384212	38.3666	369830	27.0641	0.9193
31271121	A179.filter	na	NZ_CP051751.1	5054966	206	0.0041	206	100.0000	201	97.5728	0	0.0000	201	97.5728	6	2.9126	1	16.6667	1	16.6667	4	66.6667	1	16.6667	181565	0.0000	45406	0.0000	0.9641
31271121	A179.filter	na	NZ_CP054345.1	5023098	625	0.0124	625	100.0000	615	98.4000	0	0.0000	615	98.4000	12	1.9200	2	16.6667	2	16.6667	5	41.6667	5	41.6667	334689	25.0931	342181	9.5411	0.9198
31271121	A179.filter	na	NZ_CP071375.1	5022520	262	0.0052	262	100.0000	251	95.8015	0	0.0000	251	95.8015	11	4.1985	0	0.0000	0	0.0000	7	63.6364	5	45.4545	551768	77.5763	405867	75.6292	0.9236
31271121	A179.filter	na	NZ_CP141765.1	5018039	372	0.0074	371	99.7312	366	98.6523	1	0.2688	367	98.6559	6	1.6129	1	16.6667	0	0.0000	5	83.3333	0	0.0000	392466	24.6075	226952	26.6052	0.9218
31271121	A179.filter	na	NZ_CP082774.1	5015239	245	0.0049	242	98.7755	235	97.1074	3	1.2245	238	97.1429	13	5.3061	6	46.1538	3	23.0769	4	30.7692	4	30.7692	312338	61.2967	417004	19.4737	0.9377
31271121	A179.filter	na	NZ_CP069559.1	5008199	208	0.0042	208	100.0000	202	97.1154	0	0.0000	202	97.1154	6	2.8846	0	0.0000	0	0.0000	3	50.0000	3	50.0000	344700	17.8544	268107	11.7744	0.9312
31271121	A179.filter	na	NZ_CP027457.1	5001754	643	0.0129	642	99.8445	639	99.5327	1	0.1555	640	99.5334	5	0.7776	2	40.0000	1	20.0000	3	60.0000	1	20.0000	645245	60.6368	315181	81.7073	0.8961
31271121	A179.filter	na	NZ_AP022087.1	4996252	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	476845	18.5115	117149	59.2075	0.9104
31271121	A179.filter	na	NZ_CP128931.1	4990655	841	0.0169	832	98.9298	805	96.7548	9	1.0702	814	96.7895	46	5.4697	19	41.3043	10	21.7391	18	39.1304	17	36.9565	754666	30.3516	135763	100.0000	0.8619
31271121	A179.filter	na	NZ_CP033762.1	4977723	76	0.0015	76	100.0000	73	96.0526	0	0.0000	73	96.0526	3	3.9474	0	0.0000	0	0.0000	3	100.0000	0	0.0000	322923	19.8084	38931	100.0000	0.9351
31271121	A179.filter	na	NZ_AP027258.1	4968007	874	0.0176	873	99.8856	847	97.0218	1	0.1144	848	97.0252	28	3.2037	2	7.1429	1	3.5714	18	64.2857	11	39.2857	747532	58.9084	309711	95.6304	0.8898
31271121	A179.filter	na	NC_011601.1	4965553	53	0.0011	53	100.0000	51	96.2264	0	0.0000	51	96.2264	2	3.7736	0	0.0000	0	0.0000	2	100.0000	0	0.0000	136746	55.9387	196692	22.0426	0.9594
