sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
SRR15209195	SRR15209243	na	NZ_CP128970.1	5639055	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	421579	0.0000	0.9252
SRR15209195	SRR15209243	na	NZ_CP038383.1	5571128	69	0.0012	69	100.0000	68	98.5507	0	0.0000	68	98.5507	1	1.4493	0	0.0000	0	0.0000	1	100.0000	0	0.0000	266664	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP045827.1	5570476	232	0.0042	232	100.0000	232	100.0000	0	0.0000	232	100.0000	2	0.8621	2	100.0000	2	100.0000	0	0.0000	0	0.0000	729095	77.1893	808476	90.7126	0.8858
SRR15209195	SRR15209243	na	NZ_CP100500.1	5559392	90	0.0016	90	100.0000	90	100.0000	0	0.0000	90	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	171603	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP080260.1	5366039	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	223783	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP142442.1	5358846	419	0.0078	419	100.0000	416	99.2840	0	0.0000	416	99.2840	3	0.7160	0	0.0000	0	0.0000	1	33.3333	2	66.6667	47285	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NC_017646.1	5313531	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	247991	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP022811.1	5283470	1392	0.0263	1391	99.9282	1387	99.7124	1	0.0718	1388	99.7126	8	0.5747	4	50.0000	3	37.5000	4	50.0000	1	12.5000	306526	59.1819	488765	51.6678	0.9278
SRR15209195	SRR15209243	na	NZ_CP087290.1	5197709	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	106339	100.0000	772666	50.0751	0.8513
SRR15209195	SRR15209243	na	NZ_CP068815.1	5192168	48	0.0009	48	100.0000	48	100.0000	0	0.0000	48	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP022298.1	5121071	423	0.0083	423	100.0000	423	100.0000	0	0.0000	423	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	443735	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP095448.1	5120890	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	122612	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP035879.1	5083123	650	0.0128	650	100.0000	648	99.6923	0	0.0000	648	99.6923	6	0.9231	4	66.6667	4	66.6667	1	16.6667	1	16.6667	361811	46.3189	368040	88.2078	0.9276
SRR15209195	SRR15209243	na	NZ_CP098206.1	5072432	140	0.0028	140	100.0000	140	100.0000	0	0.0000	140	100.0000	1	0.7143	1	100.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP019538.1	5071981	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	207686	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP095533.1	5071683	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	367887	0.0000	0.9275
SRR15209195	SRR15209243	na	NZ_CP022686.1	5055316	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	169550	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP051751.1	5054966	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP054345.1	5023098	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	99981	100.0000	688401	46.9683	0.8630
SRR15209195	SRR15209243	na	NZ_CP071375.1	5022520	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	80895	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP141765.1	5018039	214	0.0043	214	100.0000	214	100.0000	0	0.0000	214	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP082774.1	5015239	45	0.0009	45	100.0000	45	100.0000	0	0.0000	45	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP069559.1	5008199	19	0.0004	19	100.0000	18	94.7368	0	0.0000	18	94.7368	1	5.2632	0	0.0000	0	0.0000	1	100.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP027457.1	5001754	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	82466	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP022087.1	4996252	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP128931.1	4990655	150	0.0030	150	100.0000	149	99.3333	0	0.0000	149	99.3333	1	0.6667	0	0.0000	0	0.0000	1	100.0000	0	0.0000	188005	15.3049	93578	100.0000	0.9812
SRR15209195	SRR15209243	na	NZ_CP033762.1	4977723	82	0.0016	82	100.0000	79	96.3415	0	0.0000	79	96.3415	3	3.6585	0	0.0000	0	0.0000	0	0.0000	3	100.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP027258.1	4968007	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	277587	21.3295	72871	100.0000	0.9853
SRR15209195	SRR15209243	na	NC_011601.1	4965553	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	143515	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP073624.1	4950124	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	59926	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP104371.1	4936877	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP134358.1	4936594	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP021933.1	4928821	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP022261.1	4907327	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP028758.1	4902546	283	0.0058	283	100.0000	276	97.5265	0	0.0000	276	97.5265	9	3.1802	2	22.2222	2	22.2222	7	77.7778	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP104598.1	4901141	321	0.0065	321	100.0000	321	100.0000	0	0.0000	321	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	394793	33.8509	366765	51.1998	0.9446
SRR15209195	SRR15209243	na	NZ_CP023386.1	4900891	149	0.0030	149	100.0000	149	100.0000	0	0.0000	149	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_AP023197.1	4894769	189	0.0039	189	100.0000	189	100.0000	0	0.0000	189	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	546876	0.0000	103442	0.0000	0.9789
SRR15209195	SRR15209243	na	NZ_CP027440.1	4892666	2	0.0000	2	100.0000	2	100.0000	0	0.0000	2	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_CP095540.1	4880747	94	0.0019	94	100.0000	93	98.9362	0	0.0000	93	98.9362	1	1.0638	0	0.0000	0	0.0000	0	0.0000	1	100.0000	73702	0.0000	0	0.0000	1.0000
SRR15209195	SRR15209243	na	NZ_ABACVG020000001.1	4878159	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1.0000
