sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
A179.filter	A93.filter	na	NZ_CP128970.1	5639055	1772	0.0314	1772	100.0000	1757	99.1535	0	0.0000	1757	99.1535	17	0.9594	2	11.7647	2	11.7647	13	76.4706	2	11.7647	254789	9.0781	41121	100.0000	0.9927
A179.filter	A93.filter	na	NZ_CP038383.1	5571128	1125	0.0202	1124	99.9111	1116	99.2883	1	0.0889	1117	99.2889	11	0.9778	3	27.2727	2	18.1818	4	36.3636	5	45.4545	591726	13.6462	318926	36.2683	0.9428
A179.filter	A93.filter	na	NZ_CP045827.1	5570476	13528	0.2429	13509	99.8596	13458	99.6225	19	0.1404	13477	99.6230	103	0.7614	52	50.4854	33	32.0388	50	48.5437	21	20.3883	752190	72.0636	662354	93.8400	0.9349
A179.filter	A93.filter	na	NZ_CP100500.1	5559392	1509	0.0271	1508	99.9337	1500	99.4695	1	0.0663	1501	99.4698	12	0.7952	4	33.3333	3	25.0000	9	75.0000	0	0.0000	343983	10.5810	256485	61.0429	0.9539
A179.filter	A93.filter	na	NZ_CP080260.1	5366039	327	0.0061	327	100.0000	327	100.0000	0	0.0000	327	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	259475	39.8597	1715286	16.8084	0.6803
A179.filter	A93.filter	na	NZ_CP142442.1	5358846	1286	0.0240	1286	100.0000	1286	100.0000	0	0.0000	1286	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	363272	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NC_017646.1	5313531	1272	0.0239	1272	100.0000	1261	99.1352	0	0.0000	1261	99.1352	16	1.2579	5	31.2500	5	31.2500	5	31.2500	6	37.5000	305238	26.3162	493624	100.0000	0.9071
A179.filter	A93.filter	na	NZ_AP022811.1	5283470	14757	0.2793	14744	99.9119	14727	99.8847	13	0.0881	14740	99.8848	32	0.2168	15	46.8750	2	6.2500	23	71.8750	7	21.8750	494959	91.1932	654186	88.8616	0.9260
A179.filter	A93.filter	na	NZ_CP087290.1	5197709	602	0.0116	602	100.0000	597	99.1694	0	0.0000	597	99.1694	6	0.9967	1	16.6667	1	16.6667	0	0.0000	5	83.3333	86544	0.0000	589411	0.0000	0.8866
A179.filter	A93.filter	na	NZ_CP068815.1	5192168	356	0.0069	354	99.4382	351	99.1525	2	0.5618	353	99.1573	6	1.6854	3	50.0000	1	16.6667	1	16.6667	4	66.6667	292657	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_AP022298.1	5121071	5114	0.0999	5104	99.8045	5022	98.3934	10	0.1955	5032	98.3966	147	2.8745	65	44.2177	55	37.4150	48	32.6531	45	30.6122	735461	22.8674	514731	100.0000	0.8995
A179.filter	A93.filter	na	NZ_CP095448.1	5120890	1980	0.0387	1979	99.9495	1953	98.6862	1	0.0505	1954	98.6869	34	1.7172	8	23.5294	7	20.5882	8	23.5294	18	52.9412	214232	18.3903	542194	43.1742	0.8941
A179.filter	A93.filter	na	NZ_CP035879.1	5083123	11436	0.2250	11403	99.7114	11360	99.6229	33	0.2886	11392	99.6153	105	0.9182	61	58.0952	29	27.6190	43	40.9524	30	28.5714	157913	21.5112	164329	27.9658	0.9729
A179.filter	A93.filter	na	NZ_CP098206.1	5072432	2244	0.0442	2239	99.7772	2219	99.1067	5	0.2228	2223	99.0642	73	3.2531	52	71.2329	48	65.7534	12	16.4384	13	17.8082	429664	17.0810	287463	100.0000	0.9433
A179.filter	A93.filter	na	NZ_AP019538.1	5071981	167	0.0033	167	100.0000	167	100.0000	0	0.0000	167	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	470165	14.9679	231887	100.0000	0.9543
A179.filter	A93.filter	na	NZ_CP095533.1	5071683	715	0.0141	715	100.0000	707	98.8811	0	0.0000	707	98.8811	12	1.6783	4	33.3333	4	33.3333	6	50.0000	2	16.6667	251907	8.4952	143162	100.0000	0.9718
A179.filter	A93.filter	na	NZ_CP022686.1	5055316	261	0.0052	261	100.0000	258	98.8506	0	0.0000	258	98.8506	5	1.9157	2	40.0000	2	40.0000	0	0.0000	3	60.0000	369830	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP051751.1	5054966	234	0.0046	234	100.0000	231	98.7179	0	0.0000	231	98.7179	4	1.7094	1	25.0000	1	25.0000	2	50.0000	2	50.0000	45406	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP054345.1	5023098	196	0.0039	196	100.0000	193	98.4694	0	0.0000	193	98.4694	3	1.5306	0	0.0000	0	0.0000	1	33.3333	2	66.6667	342181	0.0000	531446	0.0000	0.8942
A179.filter	A93.filter	na	NZ_CP071375.1	5022520	1468	0.0292	1450	98.7738	1422	98.0690	18	1.2262	1440	98.0926	62	4.2234	34	54.8387	16	25.8065	26	41.9355	17	27.4194	405867	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP141765.1	5018039	237	0.0047	237	100.0000	237	100.0000	0	0.0000	237	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	226952	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP082774.1	5015239	1513	0.0302	1511	99.8678	1501	99.3382	2	0.1322	1503	99.3391	13	0.8592	3	23.0769	1	7.6923	2	15.3846	9	69.2308	417004	9.0256	331617	100.0000	0.9339
A179.filter	A93.filter	na	NZ_CP069559.1	5008199	733	0.0146	730	99.5907	726	99.4521	3	0.4093	729	99.4543	11	1.5007	7	63.6364	4	36.3636	2	18.1818	4	36.3636	268107	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP027457.1	5001754	1199	0.0240	1196	99.7498	1194	99.8328	3	0.2502	1197	99.8332	6	0.5004	4	66.6667	1	16.6667	3	50.0000	2	33.3333	315181	32.3268	218818	100.0000	0.9563
A179.filter	A93.filter	na	NZ_AP022087.1	4996252	196	0.0039	196	100.0000	196	100.0000	0	0.0000	196	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	117149	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP128931.1	4990655	12818	0.2568	12701	99.0872	12579	99.0394	117	0.9128	12694	99.0326	398	3.1050	274	68.8442	162	40.7035	132	33.1658	80	20.1005	135763	0.0000	62178	0.0000	0.9875
A179.filter	A93.filter	na	NZ_CP033762.1	4977723	244	0.0049	243	99.5902	237	97.5309	1	0.4098	238	97.5410	7	2.8689	1	14.2857	0	0.0000	3	42.8571	4	57.1429	38931	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_AP027258.1	4968007	5933	0.1194	5919	99.7640	5887	99.4594	14	0.2360	5900	99.4438	60	1.0113	27	45.0000	14	23.3333	31	51.6667	14	23.3333	309711	65.6402	317107	90.9942	0.9585
A179.filter	A93.filter	na	NC_011601.1	4965553	1113	0.0224	1111	99.8203	1074	96.6697	2	0.1797	1076	96.6757	63	5.6604	26	41.2698	24	38.0952	20	31.7460	18	28.5714	196692	0.0000	269007	0.0000	0.9458
A179.filter	A93.filter	na	NZ_CP073624.1	4950124	905	0.0183	903	99.7790	899	99.5570	2	0.2210	901	99.5580	6	0.6630	2	33.3333	0	0.0000	4	66.6667	2	33.3333	193469	43.6271	409807	73.8165	0.9172
A179.filter	A93.filter	na	NZ_CP104371.1	4936877	13	0.0003	13	100.0000	13	100.0000	0	0.0000	13	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	226424	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP134358.1	4936594	736	0.0149	735	99.8641	728	99.0476	1	0.1359	729	99.0489	8	1.0870	1	12.5000	0	0.0000	4	50.0000	4	50.0000	223623	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_AP021933.1	4928821	849	0.0172	847	99.7644	846	99.8819	2	0.2356	848	99.8822	4	0.4711	3	75.0000	1	25.0000	3	75.0000	1	25.0000	125949	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_AP022261.1	4907327	806	0.0164	806	100.0000	796	98.7593	0	0.0000	796	98.7593	17	2.1092	7	41.1765	7	41.1765	4	23.5294	6	35.2941	417034	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP028758.1	4902546	2529	0.0516	2526	99.8814	2513	99.4854	3	0.1186	2516	99.4860	19	0.7513	6	31.5789	3	15.7895	6	31.5789	10	52.6316	230164	8.1294	52955	100.0000	0.9892
A179.filter	A93.filter	na	NZ_CP104598.1	4901141	6818	0.1391	6802	99.7653	6781	99.6913	16	0.2347	6797	99.6920	43	0.6307	22	51.1628	6	13.9535	23	53.4884	10	23.2558	254096	57.1658	348212	66.7430	0.9270
A179.filter	A93.filter	na	NZ_CP023386.1	4900891	1428	0.0291	1425	99.7899	1415	99.2982	3	0.2101	1418	99.2997	16	1.1204	6	37.5000	3	18.7500	9	56.2500	4	25.0000	207971	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_AP023197.1	4894769	2989	0.0611	2986	99.8996	2968	99.3972	3	0.1004	2971	99.3978	23	0.7695	5	21.7391	2	8.6957	11	47.8261	10	43.4783	259248	21.6071	302347	38.0318	0.9382
A179.filter	A93.filter	na	NZ_CP027440.1	4892666	466	0.0095	465	99.7854	460	98.9247	1	0.2146	461	98.9270	7	1.5021	2	28.5714	1	14.2857	1	14.2857	5	71.4286	288295	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP095540.1	4880747	241	0.0049	241	100.0000	240	99.5851	0	0.0000	240	99.5851	1	0.4149	0	0.0000	0	0.0000	0	0.0000	1	100.0000	220925	12.6541	645573	51.1270	0.8677
A179.filter	A93.filter	na	NZ_ABACVG020000001.1	4878159	364	0.0075	364	100.0000	359	98.6264	0	0.0000	359	98.6264	5	1.3736	0	0.0000	0	0.0000	4	80.0000	1	20.0000	631227	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP049204.1	4866137	881	0.0181	878	99.6595	872	99.3166	3	0.3405	875	99.3190	9	1.0216	3	33.3333	0	0.0000	8	88.8889	1	11.1111	221205	0.0000	80036	0.0000	0.9836
A179.filter	A93.filter	na	NZ_OW967178.1	4863036	353	0.0073	353	100.0000	352	99.7167	0	0.0000	352	99.7167	2	0.5666	1	50.0000	1	50.0000	0	0.0000	1	50.0000	251167	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP098223.1	4841244	296	0.0061	294	99.3243	293	99.6599	2	0.6757	295	99.6622	10	3.3784	9	90.0000	7	70.0000	1	10.0000	0	0.0000	655681	19.8334	497704	100.0000	0.8972
A179.filter	A93.filter	na	NZ_CP106924.1	4837116	11891	0.2458	11883	99.9327	11864	99.8401	8	0.0673	11872	99.8402	36	0.3027	17	47.2222	9	25.0000	18	50.0000	7	19.4444	116912	51.0957	143508	47.5235	0.9705
A179.filter	A93.filter	na	NZ_CP027550.1	4836918	673	0.0139	673	100.0000	659	97.9198	0	0.0000	659	97.9198	17	2.5260	3	17.6471	3	17.6471	5	29.4118	9	52.9412	283226	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP110511.1	4814832	4749	0.0986	4747	99.9579	4735	99.7472	2	0.0421	4737	99.7473	15	0.3159	3	20.0000	1	6.6667	5	33.3333	9	60.0000	116006	45.4476	207668	49.6268	0.9569
A179.filter	A93.filter	na	NZ_CP030919.1	4810511	2060	0.0428	2058	99.9029	2050	99.6113	2	0.0971	2052	99.6117	11	0.5340	3	27.2727	1	9.0909	8	72.7273	1	9.0909	99910	44.5831	127780	74.7856	0.9734
A179.filter	A93.filter	na	NZ_CP007390.1	4807977	12894	0.2682	12614	97.8284	12510	99.1755	280	2.1716	12788	99.1779	470	3.6451	364	77.4468	111	23.6170	184	39.1489	98	20.8511	56755	90.2987	198104	67.6140	0.9588
A179.filter	A93.filter	na	NZ_CP088131.1	4785944	4367	0.0912	4358	99.7939	4350	99.8164	9	0.2061	4359	99.8168	36	0.8244	28	77.7778	20	55.5556	9	25.0000	5	13.8889	63135	65.1287	198509	70.1686	0.9585
A179.filter	A93.filter	na	NZ_CP081698.1	4777845	1455	0.0305	1444	99.2440	1429	98.9612	11	0.7560	1440	98.9691	37	2.5430	22	59.4595	11	29.7297	8	21.6216	15	40.5405	71970	0.0000	34271	0.0000	0.9928
A179.filter	A93.filter	na	NZ_CP047600.1	4768611	465	0.0098	465	100.0000	463	99.5699	0	0.0000	463	99.5699	2	0.4301	0	0.0000	0	0.0000	1	50.0000	1	50.0000	396439	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP019267.1	4740860	305697	6.4481	305573	99.9594	305539	99.9889	124	0.0406	305663	99.9889	186	0.0608	152	81.7204	28	15.0538	107	57.5269	45	24.1935	24712	100.0000	144847	24.1296	0.9720
A179.filter	A93.filter	na	NZ_CP135649.1	4717304	5002	0.1060	4975	99.4602	4945	99.3970	27	0.5398	4972	99.4002	107	2.1391	77	71.9626	50	46.7290	26	24.2991	20	18.6916	150076	42.5691	149125	78.9519	0.9754
A179.filter	A93.filter	na	NZ_CP069453.1	4666387	841	0.0180	841	100.0000	825	98.0975	0	0.0000	825	98.0975	16	1.9025	0	0.0000	0	0.0000	4	25.0000	13	81.2500	188249	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP024147.1	4639454	805	0.0174	805	100.0000	803	99.7516	0	0.0000	803	99.7516	3	0.3727	1	33.3333	1	33.3333	1	33.3333	1	33.3333	234204	11.6313	76241	100.0000	0.9836
A179.filter	A93.filter	na	NZ_CP138428.1	4614072	3367	0.0730	3359	99.7624	3354	99.8511	8	0.2376	3362	99.8515	14	0.4158	9	64.2857	1	7.1429	5	35.7143	7	50.0000	198152	0.0000	0	0.0000	1.0000
A179.filter	A93.filter	na	NZ_CP028750.1	4602860	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	154021	27.8787	527515	100.0000	0.8854
A179.filter	A93.filter	na	NZ_LR134231.1	4594692	21430	0.4664	21414	99.9253	21387	99.8739	16	0.0747	21403	99.8740	46	0.2147	19	41.3043	3	6.5217	38	82.6087	5	10.8696	41989	0.0000	43310	0.0000	0.9906
A179.filter	A93.filter	na	NZ_CP053730.1	4590822	5609	0.1222	5602	99.8752	5597	99.9107	7	0.1248	5604	99.9109	16	0.2853	11	68.7500	4	25.0000	6	37.5000	4	25.0000	29106	23.0331	69566	61.9139	0.9848
A179.filter	A93.filter	na	NZ_CP089930.1	4438520	181	0.0041	181	100.0000	178	98.3425	0	0.0000	178	98.3425	9	4.9724	6	66.6667	6	66.6667	3	33.3333	0	0.0000	0	0.0000	0	0.0000	1.0000
