sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim
EUP2115.filter	SRR15209243	na	NZ_CP128970.1	5639055	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	421579	0.0000	0.9252
EUP2115.filter	SRR15209243	na	NZ_CP038383.1	5571128	26	0.0005	26	100.0000	26	100.0000	0	0.0000	26	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	345818	0.0000	0	0.0000	0.9663
EUP2115.filter	SRR15209243	na	NZ_CP045827.1	5570476	106	0.0019	106	100.0000	106	100.0000	0	0.0000	106	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	859402	77.4850	808476	100.0000	0.9475
EUP2115.filter	SRR15209243	na	NZ_CP100500.1	5559392	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	110930	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NZ_CP080260.1	5366039	87	0.0016	87	100.0000	87	100.0000	0	0.0000	87	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	500441	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NZ_CP142442.1	5358846	131	0.0024	131	100.0000	131	100.0000	0	0.0000	131	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	690213	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NC_017646.1	5313531	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	309292	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NZ_AP022811.1	5283470	368	0.0070	368	100.0000	362	98.3696	0	0.0000	362	98.3696	7	1.9022	1	14.2857	1	14.2857	4	57.1429	2	28.5714	499053	93.0374	488765	100.0000	0.9679
EUP2115.filter	SRR15209243	na	NZ_CP087290.1	5197709	84	0.0016	84	100.0000	84	100.0000	0	0.0000	84	100.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	350667	20.8756	772666	50.0751	0.8513
EUP2115.filter	SRR15209243	na	NZ_CP068815.1	5192168	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	1069935	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NZ_AP022298.1	5121071	1085	0.0212	1085	100.0000	1085	100.0000	0	0.0000	1085	100.0000	1	0.0922	1	100.0000	1	100.0000	0	0.0000	0	0.0000	621195	0.0000	0	0.0000	1.0000
EUP2115.filter	SRR15209243	na	NZ_CP095448.1	5120890	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	0	0.0000	46374	0.0000	0	0.0000	1.0000
